Вопрос из БЗ,Ответ из БЗ,Классификатор 1 уровня,Классификатор 2 уровня
Зачем нужно подтверждать номер телефона?,"Это единичная процедура, которая защищает наших пользователей от разного рода вредоносного контента. Кроме того, производить идентификацию пользователей нас обязывает российское законодательство (ФЗ от 27.07.2006 №149-ФЗ). Подтверждать номер телефона нужно только в том случае, если вам требуется доступ к запуску прямого эфира на RUTUBE.",ТРАНСЛЯЦИЯ,Управление трансляцией
"Написана, что нужно подтвердить телефон, зачем?","Производить идентификацию пользователей нас обязывает российское законодательство (ФЗ от 27.07.2006 №149-ФЗ). Подтверждать номер телефона нужно только в том случае, если вам требуется доступ к запуску прямого эфира на RUTUBE.",ТРАНСЛЯЦИЯ,Управление трансляцией
Зачем привяхывать телефон?,"Это требование закона  (ФЗ от 27.07.2006 №149-ФЗ). Подтверждать номер телефона нужно только в том случае, если вам требуется доступ к запуску прямого эфира на RUTUBE.",ТРАНСЛЯЦИЯ,Управление трансляцией
Как проходит подтверждение номера телефона?,"Введите ваш номер телефона в соответствующее поле на первой странице раздела запуска трансляции: https://rutube.ru/create-stream/. В ответ на ваш запрос на указанный номер поступит звонок. Запомните последние 4 цифры номера телефона, с которого поступил звонок, и сбросьте его. Эти цифры необходимо будет ввести в соответствующее поле.",ТРАНСЛЯЦИЯ,Управление трансляцией
как подтвердить телефон?,"Введите ваш номер телефона в поле на первой странице раздела запуска трансляции: https://rutube.ru/create-stream/. В ответ на ваш запрос на указанный номер поступит звонок. Запомните последние 4 цифры номера телефона, с которого поступил звонок, и сбросьте его. Эти цифры необходимо будет ввести в соответствующее поле.",ТРАНСЛЯЦИЯ,Управление трансляцией
как мне подтвердить номер телефона?,"Введите ваш номер телефона в соответствующее поле на первой странице раздела запуска трансляции: https://rutube.ru/create-stream/. В ответ на указанный номер поступит звонок. Запомните последние 4 цифры номера телефона, с которого поступил звонок, и сбросьте его. Эти цифры необходимо будет ввести в соответствующее поле.",ТРАНСЛЯЦИЯ,Управление трансляцией
каким образом подтверждаите номер ?,"Мы просим вас ввести ваш номер телефона в соответствующее поле на первой странице раздела запуска трансляции: https://rutube.ru/create-stream/. В ответ на ваш запрос на указанный номер поступит звонок. Запомните последние 4 цифры номера телефона, с которого поступил звонок, и сбросьте его. Эти цифры необходимо будет ввести в соответствующее поле.",ТРАНСЛЯЦИЯ,Управление трансляцией
Зачем нужен заголовок и описание для прямого эфира?,"Заголовок трансляции дает зрителям дополнительную информацию о ее содержании. Рекомендуем вам придумать информативный и яркий заголовок, который, с одной стороны, будет раскрывать тему стрима, с другой — привлечет внимание пользователей RUTUBE и тем самым расширит вашу аудиторию. В описании вы можете указать дополнительную информацию и дать какие-либо ссылки.",ТРАНСЛЯЦИЯ,Управление трансляцией
Пишет что нужно заполнит загаловак для трансляции зачем?,Заголовок позволит зрителям найти вашу трансляцию.,ТРАНСЛЯЦИЯ,Управление трансляцией
заголовок и описание в эфире? зачемЕ?,"Эта информация для ваших зрителей, в ней содержится краткое описание трансляции.",ТРАНСЛЯЦИЯ,Управление трансляцией
Что такое обложка трансляции?,"Вы можете загрузить обложку, которая будет отображаться в плеере в окне данной трансляции. Это можно сделать только до начала трансляции. Обложкой может стать любое изображение, которое не противоречит Пользовательскому соглашению: https://rutube.ru/info/agreement/. Для корректного отображения картинка (желательно в формате JPEG) должна иметь соотношение сторон 16:9 или 1920x1080 пикс.",ТРАНСЛЯЦИЯ,Управление трансляцией
Что за облошка на трансляции?,"Обложка трансляции это то, что видят ваши зрители попадая на канал, не заходя на саму трансляцию. Её можно выставить перед началось трансляции.",ТРАНСЛЯЦИЯ,Управление трансляцией
лбложка трансляции что это?,"Это изображение, которое будет отображаться в плеере в окне данной трансляции. Это можно сделать только до начала трансляции. Обложкой может стать любое изображение, которое не противоречит Пользовательскому соглашению: https://rutube.ru/info/agreement/. Для корректного отображения картинка (желательно в формате JPEG) должна иметь соотношение сторон 16:9 или 1920x1080 пикс.",ТРАНСЛЯЦИЯ,Управление трансляцией
Что такое онлайн-чат и как им управлять?,"Во время прямого эфира доступен онлайн-чат, с помощью которого автор трансляции может общаться со зрителями. При этом у автора есть возможность модерировать чат: наведите курсор мыши на сообщение, которое хотите модерировать, нажмите на многоточие (три точки) рядом с сообщением и выберете одно из трех действий: «‎Удалить сообщение», «‎Скрыть сообщение от других», «‎Заблокировать пользователя».",ТРАНСЛЯЦИЯ,Чат/Комментарии
Что за чат в окне?,Чат отображается у вас во время ведения трансляции и позволяет вести коммуникацию с вашими зрителями.,ТРАНСЛЯЦИЯ,Чат/Комментарии
онлайн чта какой-то что с ним делать?,Чат- это место для общения вас и ваших зрителей во время трансляции.,ТРАНСЛЯЦИЯ,Чат/Комментарии
"Чат онлайна куда мне его, как управлять?","Во время прямого эфира доступен чат, с помощью которого вы можете общаться со зрителями. При этом у автора есть возможность модерировать чат: наведите курсор мыши на сообщение, которое хотите модерировать, нажмите на многоточие (три точки) рядом с сообщением и выберете одно из трех действий: «‎Удалить сообщение», «‎Скрыть сообщение от других», «‎Заблокировать пользователя».",ТРАНСЛЯЦИЯ,Чат/Комментарии
Что произойдет с моей трансляцией после ее окончания?,"После завершения трансляция переходит в техническую обработку. Время обработки зависит от технических параметров, длительности и нагрузки на оформление записи. Как только запись трансляции будет опубликована на вашем канале, вы сможете перейти в Студию: https://studio.rutube.ru/videos и скопировать актуальную ссылку, а также проверить качество картинки и звука. Также запись может появиться в разделе «Трансляции» и на главной странице RUTUBE. Процедура добавления видео в разделы и на главную страницу сайта осуществляется на основании внутренних процессов RUTUBE и происходит без участия автора трансляции.",ТРАНСЛЯЦИЯ,Управление трансляцией
"после того как закончу стримить, что будет?",После этого запись стрима пройдёт дополнительную модерацию и будет сохранена как обычное видео.,ТРАНСЛЯЦИЯ,Управление трансляцией
что с видео после стрима будет?,Видео будет сохранено на вашей странице.,ТРАНСЛЯЦИЯ,Управление трансляцией
Запись потока после окончания стирается?,"Да, сохраняется. Она будет доступна как обычное видео.",ТРАНСЛЯЦИЯ,Управление трансляцией
Сохраняется ли приватная трансляция?,"Да, сохраняется. Как и видео с доступом по ссылке, записи таких трансляций не отображаются в списке роликов канала всем пользователям и доступны только по ссылке.",ТРАНСЛЯЦИЯ,Управление трансляцией
Приватный стрим сохранится?,"Да, сохраняется. Как и видео с доступом по ссылке, записи таких трансляций не отображаются в списке роликов канала всем пользователям и доступны только по ссылке. ",ТРАНСЛЯЦИЯ,Управление трансляцией
После окончания стрима по ссылке он сохраняется?,"Да, сохраняется. Как и видео с доступом по ссылке, записи таких трансляций не отображаются в списке роликов канала всем пользователям и доступны только по ссылке. ",ТРАНСЛЯЦИЯ,Управление трансляцией
"Личный стрим, только для тех с кем я поделился ссылкой сохраниться?","Да, сохраняется. Как и видео с доступом по ссылке, записи таких трансляций не отображаются в списке роликов канала всем пользователям и доступны только по ссылке. ",ТРАНСЛЯЦИЯ,Управление трансляцией
Могу ли я удалить запись трансляции после ее окончания?,"Да, вы можете удалить записанный стрим с RUTUBE так же, как и любое другое видео. Для этого нужно выбрать ролик, нажать на него и выбрать пункт «Удалить». Обратите внимание: удаление ролика автором не предусматривает возможности его восстановления.",ТРАНСЛЯЦИЯ,Управление трансляцией
Запись трансляции можно удалить?,"После загрузки записи, нажать на неё и выбрать пункт «Удалить».",ТРАНСЛЯЦИЯ,Управление трансляцией
Можно избавиться от записи потока после окончания?,"Да, это можно сделать, как и с обычным видео. Для этого нужно выбрать ролик, нажать на него и выбрать пункт «Удалить».",ТРАНСЛЯЦИЯ,Управление трансляцией
Могу ли я скачать копию моей трансляции?,RUTUBE не предоставляет сервис по копированию и скачиванию видеороликов с сайта. Осуществление пользователями несанкционированных действий по копированию видеороликов нарушает правила Пользовательского соглашения RUTUBE: https://rutube.ru/info/agreement/,ТРАНСЛЯЦИЯ,Управление трансляцией
Как скачать запись стрима?,"Такой возможности нет, но мы передали вашу идею для отдела разработки.",ТРАНСЛЯЦИЯ,Управление трансляцией
"хочу себе запись трансляции, чтобы подмонтировать потом, как сделать?","Пока такой возможности нет, но мы отдали запрос как идею для отдела разработки.",ТРАНСЛЯЦИЯ,Управление трансляцией
Можно ли скаяать запись стрима?,"Сейчас такой возможности нет, но мы отдали запрос как идею для отдела разработки.",ТРАНСЛЯЦИЯ,Управление трансляцией
Как загрузить видеоролик на сайт?,"1. Зарегистрируйтесь или авторизуйтесь на RUTUBE.
2. Нажмите на значок загрузки (символ «плеера со знаком плюс») в правом верхнем углу экрана или пройдите по этой ссылке: https://studio.rutube.ru/uploader/
3. Выберите на вашем устройстве видеофайл, который хотите загрузить.
4. Укажите название и описание, выберите категорию ролика.
5. Настройте доступ к видео.
Если хотите, чтобы ваш ролик могли посмотреть только те, с кем вы им поделились, в поле ""Параметры доступа"" выберите вариант «Только по ссылке». Такой ролик не будет находиться в поиске, и другие пользователи не увидят его в списке ваших роликов. Обратите внимание: если вы отправите кому-то ссылку на ролик, то получатель может ею поделиться с другими.",ВИДЕО,Загрузка видео
"Я сняла поздравления для внучка, а как мне его теперь загрузить к вам или только блогееры к вам могут загружать?","Чтобы загрузить ролик:
1. Зарегистрируйтесь или авторизуйтесь на RUTUBE.
2. Нажмите на значок загрузки (символ плеера со знаком плюс) в правом верхнем углу экрана или пройдите по этой ссылке https://studio.rutube.ru/uploader/
3. Выберите на устройстве видеофайл, который хотите загрузить;
4. Придумайте для него название и описание, выберите категорию;
5. Настройте доступ к видео. Если хотите, чтобы ролик могли посмотреть только те, с кем вы им поделились, в поле ""Параметры доступа"" выберите вариант «Только по ссылке». Такой ролик не будет находиться в поиске, и другие пользователи не увидят его в списке ваших роликов. Обратите внимание: если вы отправите кому-то ссылку на ролик, то получатель может поделиться ей с другими людьми.",ВИДЕО,Загрузка видео
как разместить видо на платформе?,"Вам нужно пройти следующие шаги:
1. Зарегистрируйтесь или авторизуйтесь на RUTUBE.
2. Нажмите на значок загрузки (символ плеера со знаком плюс) в правом верхнем углу экрана или пройдите по этой ссылке https://studio.rutube.ru/uploader/
3. Выберите на устройстве видеофайл, который хотите загрузить;
4. Придумайте для него название и описание, выберите категорию;
5. Настройте доступ к видео. Если хотите, чтобы ролик могли посмотреть только те, с кем вы им поделились, в поле ""Параметры доступа"" выберите вариант «Только по ссылке». Такой ролик не будет находиться в поиске, и другие пользователи не увидят его в списке ваших роликов. Обратите внимание: если вы отправите кому-то ссылку на ролик, то получатель может поделиться ей с другими людьми.",ВИДЕО,Загрузка видео
Какие технические требования предъявляются к загружаемым видеороликам?,"Проверьте, соответствует ли загружаемое видео следующим параметрам:

размер: не более 25 Гб;
длительность: не более 300 минут;
формат контейнера: MP4;
видеокодек: H264 (MainConcept);
аудиокодек: MPEG 2 ACC-LC, Stereo;
параметры видео: bitrate выше 3600 kbps, разрешение до 3840 Х 2160 (соотношение сторон 16:9), frame rate: 60fps, key frame каждый 50-й.
параметры аудио: bitrate 128 kbps, 44100 KHz.
Мы также советуем избегать:
форматов VOB, WMV, AVI;
разных длин аудио и видео дорожек;
нескольких видео- и аудиопотоков в одном файле;
больших размеров кадра при маленьком битрейте (например, FullHD с 400kbps).

форматов VOB, WMV, AVI;
разных длин аудио и видео дорожек;
нескольких видео- и аудиопотоков в одном файле;
больших размеров кадра при маленьком битрейте (например, FullHD с 400kbps).",ВИДЕО,Загрузка видео
"Какие условифмя должны быть, чтобы видео загрузилось?"," Размер: не более 25 Гб;
· Длительность: не более 5 часов (300 минут);
· Формат контейнера: MP4;
· Видео-кодек: H264 (MainConcept);
· Аудио-кодек: MPEG 2 ACC-LC, Stereo;
· Параметры видео: bitrate выше 3600 kbps, разрешение до 3840 Х 2160 (соотношение сторон 16:9), frame rate: до 60 fps, key frame каждый 50-й кадр;
· Параметры аудио: bitrate 128 kbps, 44100 KHz.

Мы также советуем избегать:
· форматов VOB, WMV, AVI, MKV;
· разных длин аудио и видео дорожек;
· нескольких видео- и аудиопотоков в одном файле;
· больших размеров кадра при маленьком битрейте (например, FullHD с 400kbps).

Не загружайте более 5 видео одновременно и убедитесь, что отключены программы и расширения, блокирующие рекламу.",ВИДЕО,Загрузка видео
"Какие параметры должны быть у аидеоо ролика, чтобы он успешно загрузился?","Параметры видео:  Размер: не более 25 Гб;
· Длительность: не более 5 часов (300 минут);
· Формат контейнера: MP4;
· Видео-кодек: H264 (MainConcept);
· Аудио-кодек: MPEG 2 ACC-LC, Stereo;
· Параметры видео: bitrate выше 3600 kbps, разрешение до 3840 Х 2160 (соотношение сторон 16:9), frame rate: до 60 fps, key frame каждый 50-й кадр;
· Параметры аудио: bitrate 128 kbps, 44100 KHz.

Мы также советуем избегать:
· форматов VOB, WMV, AVI, MKV;
· разных длин аудио и видео дорожек;
· нескольких видео- и аудиопотоков в одном файле;
· больших размеров кадра при маленьком битрейте (например, FullHD с 400kbps).

Не загружайте более 5 видео одновременно и убедитесь, что отключены программы и расширения, блокирующие рекламу.",ВИДЕО,Загрузка видео
При загрузке ролика возникает ошибка,"Пожалуйста, проверьте ваш ролик на соответствие техническим требованиям . А также не загружайте более пяти видео одновременно и убедитесь, что отключены программы и расширения, блокирующие рекламу. Если вы все тщательно проверили, а проблема сохраняется, попробуйте загрузить ролик с другого устройства. Если и это не помогло, напишите нашей команде поддержки на help@rutube.ru.",ВИДЕО,Загрузка видео
не могу загрущить видео возникла ошибка,"Проверьте, пожалуйста, соответствует ли загружаемое видео следующим параметрам:

· Размер: не более 25 Гб;
· Длительность: не более 5 часов (300 минут);
· Формат контейнера: MP4;
· Видео-кодек: H264 (MainConcept);
· Аудио-кодек: MPEG 2 ACC-LC, Stereo;
· Параметры видео: bitrate выше 3600 kbps, разрешение до 3840 Х 2160 (соотношение сторон 16:9), frame rate: до 60 fps, key frame каждый 50-й кадр;
· Параметры аудио: bitrate 128 kbps, 44100 KHz.

Мы также советуем избегать:
· форматов VOB, WMV, AVI, MKV;
· разных длин аудио и видео дорожек;
· нескольких видео- и аудиопотоков в одном файле;
· больших размеров кадра при маленьком битрейте (например, FullHD с 400kbps).

Не загружайте более 5 видео одновременно и убедитесь, что отключены программы и расширения, блокирующие рекламу. Если вы все тщательно проверили, а проблема сохраняется, попробуйте загрузить ролик с другого устройства. Если и это не помогло, то пришлите, пожалуйста, скриншот ошибки.",ВИДЕО,Загрузка видео
ошибка при загрузке видео,"Проверьте, пожалуйста, соответствует ли загружаемое видео следующим параметрам:

· Размер: не более 25 Гб;
· Длительность: не более 5 часов (300 минут);
· Формат контейнера: MP4;
· Видео-кодек: H264 (MainConcept);
· Аудио-кодек: MPEG 2 ACC-LC, Stereo;
· Параметры видео: bitrate выше 3600 kbps, разрешение до 3840 Х 2160 (соотношение сторон 16:9), frame rate: до 60 fps, key frame каждый 50-й кадр;
· Параметры аудио: bitrate 128 kbps, 44100 KHz.

Мы также советуем избегать:
· форматов VOB, WMV, AVI, MKV;
· разных длин аудио и видео дорожек;
· нескольких видео- и аудиопотоков в одном файле;
· больших размеров кадра при маленьком битрейте (например, FullHD с 400kbps).

Не загружайте более 5 видео одновременно и убедитесь, что отключены программы и расширения, блокирующие рекламу. Если требования соблюдены, попробуйте, почистить кэш, загрузить видео в режиме "" Инкогнито"". Если ошибка сохраняется, пожалуйста пришлите скриншот мы всё зафиксируем.",ВИДЕО,Загрузка видео
У моего ролика рассинхрон (не совпадают звук и видео). Что делать?,"Проверьте ваш ролик на соответствие техническим требованиям (см. выше). Также мы не рекомендуем использовать непроверенные программы для подготовки видео к загрузке. Наши технические специалисты рекомендуют использовать следующие программы-конвертеры: VirtualDUB, Avidemux, Blender.",ВИДЕО,Загрузка видео
"У моего видео звук отстает от видео, что делать?","Проверьте, пожалуйста, соответствует ли загружаемое видео следующим параметрам:

· Размер: не более 25 Гб;
· Длительность: не более 5 часов (300 минут);
· Формат контейнера: MP4;
· Видео-кодек: H264 (MainConcept);
· Аудио-кодек: MPEG 2 ACC-LC, Stereo;
· Параметры видео: bitrate выше 3600 kbps, разрешение до 3840 Х 2160 (соотношение сторон 16:9), frame rate: до 60 fps, key frame каждый 50-й кадр;
· Параметры аудио: bitrate 128 kbps, 44100 KHz.

Мы также советуем избегать:
· форматов VOB, WMV, AVI, MKV;
· разных длин аудио и видео дорожек;
· нескольких видео- и аудиопотоков в одном файле;
· больших размеров кадра при маленьком битрейте (например, FullHD с 400kbps).",ВИДЕО,Загрузка видео
"Что делаеть, если видео отстает от звука, такого не должно быть вот оригинал","Удостоверьтесь, что видео соответствует следующим параметрам:

· Размер: не более 25 Гб;
· Длительность: не более 5 часов (300 минут);
· Формат контейнера: MP4;
· Видео-кодек: H264 (MainConcept);
· Аудио-кодек: MPEG 2 ACC-LC, Stereo;
· Параметры видео: bitrate выше 3600 kbps, разрешение до 3840 Х 2160 (соотношение сторон 16:9), frame rate: до 60 fps, key frame каждый 50-й кадр;
· Параметры аудио: bitrate 128 kbps, 44100 KHz.

Мы также советуем избегать:
· форматов VOB, WMV, AVI, MKV;
· разных длин аудио и видео дорожек;
· нескольких видео- и аудиопотоков в одном файле;
· больших размеров кадра при маленьком битрейте (например, FullHD с 400kbps).",ВИДЕО,Загрузка видео
"Не получается загрузить видеоролик — появляется окно с просьбой подтвердить e-mail, но я его уже подтвердил.","Очистите кэш вашего браузера, снова зайдите в ваш аккаунт и попробуйте загрузить видеоролик еще раз.",ВИДЕО,Загрузка видео
"Я уже подверждал e-mail, но во время загрузки видео снова просит","Рекомендуем: Почистить Cash/Cookies браузера.
Зайти через режим инкогнито.
Воспользоваться другим браузером.
Проверить скорость интернета, переподключиться к другой сети. После этого попробуйте загрузить видеоролик еще раз.",ВИДЕО,Загрузка видео
"возникает какято-то ошибка, просит подвердить мыло при загрузке видео, но ранее подтверждала","Очистите кэш вашего браузера, снова зайдите в ваш аккаунт и попробуйте загрузить видеоролик еще раз. , если это не поможет попробуйте загрузить видео в режиме ""Инкогнито"", если это не поможет, то направьте, пожалуйста скриншот ошибки.",ВИДЕО,Загрузка видео
Не воспроизводится видео — появляется ошибка,"Если вы просматриваете видеоролик через браузер на ПК, нажмите клавишу F12. В открывшемся окне перейдите во вкладку «console». Сделайте скриншот всей страницы и пришлите на help@rutube.ru.",ВИДЕО,Воспроизведение видео
не могу пасматреть видео из-за ошибки что это?,"Рекомендуем проверить: скорость интернета, установлены ли последние версии приложения и операционной системы устройства. Подключиться к другой сети при слабом сигнале интернета, переустановить приложение. Если после выполнения рекомендаций проблема сохранится. Напишите, пожалуйста, на help@rutube.ru, поможем разобраться в проблеме.",ВИДЕО,Воспроизведение видео
появляется ошибка перед тем как запустить видео,"Здравствуйте! Рекомендуем проверить: скорость интернета, установлены ли последние версии приложения и операционной системы устройства. Подключиться к другой сети при слабом сигнале интернета, переустановить приложение. Если после выполнения рекомендаций проблема сохранится. Напишите, пожалуйста, на help@rutube.ru, поможем разобраться в проблеме.",ВИДЕО,Воспроизведение видео
Не могу посмотреть ролик в хорошем качестве,"Скорее всего, у вас стоит блокировщик рекламы. Отключите его или добавьте RUTUBE в исключения в настройках блокировщика. Если у вас не установлен блокировщик, но вы получаете сообщение об этом, обратитесь к нашей команде поддержки на help@rutube.ru.",ВИДЕО,Воспроизведение видео
почему такое низкое качество у видео?,"Вероятнее всего, у вас стоит блокировщик рекламы. Отключите его или добавьте RUTUBE в исключения в настройках блокировщика. Если у вас не установлен блокировщик, но вы получаете сообщение об этом, обратитесь к нашей команде поддержки на help@rutube.ru.",ВИДЕО,Воспроизведение видео
видео которое я смотрю в очень низком качестве,"Скорее всего, у вас стоит блокировщик рекламы. Отключите его или добавьте RUTUBE в исключения в настройках блокировщика.",ВИДЕО,Воспроизведение видео
Почнм нельзя смотреть видео в хорошем качестве?,"Вероятнее всего, у вас стоит блокировщик рекламы. Отключите его или добавьте RUTUBE в исключения в настройках блокировщика.",ВИДЕО,Воспроизведение видео
Как размещать ролики на главной странице RUTUBE?,Формирование главной страницы RUTUBE происходит на основании внутренних процессов сайта.,СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА,Продвижение канала
Можете поставить мой ролик на главную?,Формирование главной страницы RUTUBE происходит на основании внутренних процессов нашей платформы.,СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА,Продвижение канала
как мне разместить видео на главной рутуба?,Формирование главной страницы RUTUBE происходит на основании внутренних правил нашей платформы.,СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА,Продвижение канала
Я недавно загрузил видеоролик. Почему он до сих пор не появился на сайте?,"Все видеоролики, которые вы загружаете на RUTUBE, проходят предварительную модерацию, то есть проверяются на предмет соответствия Пользовательскому соглашению: https://rutube.ru/info/agreement. Как только наши модераторы проверят ваш видеоролик (обычно это происходит в срок до 24 часов), он появится на вашем канале и станет доступен другим пользователям RUTUBE. Подробнее о процессе модерации можно почитать здесь: https://rutube.ru/info/moderation",МОДЕРАЦИЯ,Долгая модерация
"Где сое видео, я его загрузил, а его нет","Все видеоролики, проходят предварительную модерацию, то есть проверяются на предмет соответствия Пользовательскому соглашению: https://rutube.ru/info/agreement. Как только наши модераторы проверят ваш видеоролик (обычно это происходит в срок до 24 часов), он появится на вашем канале и станет доступен другим пользователям RUTUBE. Подробнее о процессе модерации можно почитать здесь: https://rutube.ru/info/moderation",МОДЕРАЦИЯ,Долгая модерация
"нет моего видео, я его недавно загрузил","Перед публикацией, все видеоролики, проходят предварительную модерацию, то есть проверяются на предмет соответствия Пользовательскому соглашению: https://rutube.ru/info/agreement. Как только наши модераторы проверят ваш видеоролик (обычно это происходит в срок до 24 часов), он появится на вашем канале и станет доступен другим пользователям RUTUBE. Подробнее о процессе модерации можно почитать здесь: https://rutube.ru/info/moderation",МОДЕРАЦИЯ,Долгая модерация
Какую категорию выбрать для видео?,"Категория должна соответствовать содержанию видео. На RUTUBE доступно множество категорий, отражающих широкий выбор тем и увлечений. С полным перечнем вы можете ознакомиться здесь: https://rutube.ru/info/categories/",ВИДЕО,Загрузка видео
К какой категории относится мой клип,"Можете выбрать категорию ""Музыка"" На RUTUBE доступно большое количество категорий, отражающих широкий спектр тем и увлечений. С полным перечнем вы можете ознакомиться здесь: https://rutube.ru/info/categories/",ВИДЕО,Загрузка видео
Как правильно выбрать категорию?,"На RUTUBE доступно большое количество категорий, отражающих широкий спектр тем и увлечений. С полным перечнем вы можете ознакомиться здесь: https://rutube.ru/info/categories/",ВИДЕО,Загрузка видео
Почему изменена категория у моего видеоролика?,"Категория вашего видеоролика была изменена модераторами, чтобы соответствовать содержимому. После публикации видеоролика вы не сможете изменить его категорию самостоятельно.",МОДЕРАЦИЯ,Смена категории/возрастные ограничения
"С какой это стати мое виде теперь в разделе ""Лайфстайл""?","Категория вашего видео была изменена для соответствия содержанию ролика. Согласно п. 4.17. Генерального пользовательского соглашения (https://rutube.ru/info/agreement/), мы можем изменить категорию, если считаем, что ролик стоит отнести к другой тематике. После публикации видео вы не сможете изменить его категорию самостоятельно.",МОДЕРАЦИЯ,Смена категории/возрастные ограничения
Почему сменили категорию без моего ведома?,"Категория вашего видео была изменена для соответствия содержанию ролика. Согласно п. 4.17. Генерального пользовательского соглашения (https://rutube.ru/info/agreement/), мы можем изменить категорию, если считаем, что ролик стоит отнести к другой тематике. После публикации видео вы не сможете изменить его категорию самостоятельно.",МОДЕРАЦИЯ,Смена категории/возрастные ограничения
Как включить субтитры в видео?,"Нажмите на кнопку с иконкой субтитров в плеере или используйте горячую клавишу «С». Чтобы отключить субтитры, нажмите ту же кнопку или горячую клавишу «С».",ВИДЕО,Управление плеером
