"Тема","Вопрос из БЗ","Ответ из БЗ","Классификатор 1 уровня","Классификатор 2 уровня"
"Embed","Что такое встраивание (embed) видео?","Эмбед или эмбедирование — функция, которая позволяет встраивать плеер RUTUBE с конкретным видео на сторонние веб-страницы.","ВИДЕО","Встраивание видео"
"Embed","Как эмбедировать видео с RUTUBE?","Чтобы встроить (эмбедировать) видео с RUTUBE на сторонний сайт, нужно добавить код вставки плеера в код страницы, на которую хотите встроить плеер. Встроить можно любое видео, которое не скрыто автором. Видео, доступное только по прямой ссылке, тоже можно встроить — для этого понадобится доступ в студию RUTUBE автора этого видео.

Шаг 1. Найдите нужное видео на сайте RUTUBE и нажмите «Поделиться» → «Код вставки плеера»

Шаг 2. Скопируйте код. Чтобы это сделать, кликните на код или на кнопку «Скопировать»

Шаг 3. Вставьте код вставки плеера в код страницы, на которую хотите встроить видео","ВИДЕО","Встраивание видео"
"Embed","Какие есть дополнительные возможности при эмбедирование видео","Чтобы изменить размер окна плеера, цвет элементов управления, выбрать момент начала и конца воспроизведения, показать название и автора видео, добавьте дополнительные параметры в код вставки плеера с помощью настроек параметров. Все изменения и дополнительные параметры отобразятся в коде для вставки, поэтому копируйте его только после их добавления и настройки.

В расширенной форме можно настроить следующие параметры:

Изменение размера окна плеера: замените размер в одном из полей в блоке «Размеры, px» на нужный. Второе поле подстроится автоматически, чтобы сохранить пропорции оригинального плеера.
Изменение цвета элементов плеера: нажмите «Изменить» в блоке «Основной цвет» и выберите нужный цвет из палитры.
Выбор моментов начала и конца воспроизведения: поставьте галочку в чекбоксе «Начало» и/или «Конец» добавьте таймкод нужного момента. Выбор часов будет доступен, только если видео длится больше 59 минут 59 секунд. Если указать значение 99 минут, то оно автоматически пересчитается в часы и остаток в минутах. Аналогично пересчитываются секунды в минуты.
Отображение названия видео: поставьте галочку в чекбоксе «Показывать название видео». Отображение может не работать на платформах, на которых не используется язык HTML.
Отображение автора видео: можно добавить, только если включено отображение названия видео. Чтобы включить отображение автора, поставьте галочку в чекбоксе «Показывать автора канала». Отображение может не работать на платформах, на которых не используется язык HTML.","ВИДЕО","Встраивание видео"
"Embed","Какие настройки параметров можно сделать в коде вставки","После вставки кода видео в код страницы в него можно вносить дополнительные изменения параметров, меняя значения в коде вставки.
Подробнее:

width=""864"" height=""486"" — ширина и высота окна плеера,
https://rutube.ru/play/embed/7716bd3e665725c3c008ae7ab4ff02e2 — эмбедироваванная ссылка на видео,
skinColor=e53935 — основной цвет интерфейса (красный),
t=300 — время в секундах, с которого начнётся воспроизведение (300 секунд = 5 минут),
stopTime=480 — время в секундах, на котором воспроизведение завершится (480 секунд = 8 минут),
frameborder — параметр, отвечающий за активацию рамки по периметру окна плеера. Может задаваться значением 1 (вкл) и 0 (выкл, по умолчанию),
allow=""clipboard-write; autoplay"" — параметры управления буфером копирования и автоматическим запуском видео, если выполнены все условия для автоматического запуска.
webkitAllowFullScreen mozallowfullscreen — фрагмент кода, который позволяет запускать плеер в полноэкранном режиме на устаревших версиях браузеров,
allowFullScreen — фрагмент кода, отвечающий за активацию функции полноэкранного просмотра из эмбеда. Если его удалить из кода, то функция будет недоступна,
<a href=""https://rutube.ru/video/7716bd3e665725c3c008ae7ab4ff02e2/"">«Тотальный футбол»: топовый дебют Миранчука, как поменять наш футбол – реформы Гогниева</a> — фрагмент кода, который отвечает за отображение названия видео; содержит ссылку на встариваемое видео и его название,
<a href=""//rutube.ru/metainfo/tv/23137/"">Тотальный футбол</a> — фрагмент кода, который отвечает за отображение автора канала, с которого взято видео,
<a href=""https://rutube.ru/"">RUTUBE</a> — фрагмент кода, который отображает ссылку на видеохостинг и название RUTUBE. Добавляется при проставлении галочки «Показывать название видео».","ВИДЕО","Встраивание видео"
"Embed","Как встроить на сайт приватное видео, доступное только по прямой ссылке?","Чтобы встроить видео, доступное только по прямой ссылке, понадобится ключ доступа. Его можно скопировать из прямой ссылки на видео.

Шаг 1. 
Откройте видео с ограниченным доступом в Студии RUTUBE и скопируйте его ссылку
Пример прямой ссылки на видео с его ID и ключом доступа: https://rutube.ru/video/private/caafe83ff1c6ed38d394635b83ece578/?p=IBgzQQrKH4qB1bqm_91x7Q

Шаг 2.
Откройте видео по скопированной ссылке и нажмите «Поделиться» → «Код для вставки»

Шаг 3. 
Скопируйте из ссылки в браузере ключ доступа — всё после последнего «/» — и добавьте этот кусок в код вставки видео через слэш «/» сразу после ID видео.
Все ключи видео начинаются с «/?p=». 

Если добавить на страницу код вставки без ключа доступа, видео не будет воспроизводиться.
Если у вас возникли сложности, напишите нам на help@rutube.ru","ВИДЕО","Встраивание видео"
"Оформление канала","Как мне лучше оформить свой канал?","Для этого нужно выполнить шесть простых действий, которые не менее важны для успеха вашего канала, чем ваши будущие видео. Настройки вашего канала доступны по ссылке: https://studio.rutube.ru/channel-settings

Придумайте название канала.

Напишите его кириллическими или латинскими буквами. Название канала — это то, как вас будут знать ваши зрители. Советуем придумать какой-нибудь запоминающийся псевдоним или подписаться вашим настоящим именем. Название будет отображаться на странице канала, под каждым вашим роликом, на карточке ролика в каталогах, а также рядом с любых из ваших комментариев.

Выберете аватар канала.

Если название канала — это ваше имя, то аватар — ваше лицо. По аватару вас будут узнавать — он будет отображаться рядом с названием. Вы можете подобрать любое изображение, которое вам нравится, но помните, что оно не должно восприниматься как оскорбительное. Если ваш канал представляет какую-либо организацию или бренд, советуем использовать ваш фирменный логотип.

Загрузите обложку канала.

Используйте для этого картинку в формате .jpeg размером не менее 2204 × 826 пикселей и весом не более 10 МБ. Обложка украсит главную страницу вашего канала сверху. Замечательно, если обложка и тематика канала будут соответствовать друг другу. Если вы не загрузите собственную обложку, по умолчанию отобразится картинка, нарисованная нашими дизайнерами.

Добавьте описание канала.

Поделитесь, о чём ваш контент, чтобы зрители могли сразу понять, насколько он подходит их интересам. Это может быть рассказ о вас, ваших интересах, тематике канала, бренде или ссылки на социальные сети и другие ресурсы. Добавьте ключевые слова для лучшей видимости в поисковой выдаче. Чем более емкое и грамотное описание вы составите, тем больший интерес ваш канал вызовет у зрителей.

Закрепите важные видео.

В Студии вы можете закрепить видео, которые будут отображаться вверху главной страницы вашего канала, всего их два типа:
Видео для тех, кто ещё не подписался на канал: тут можно разместить, например, трейлер вашего канала для привлечения новых зрителей.
Рекомендованное для подписчиков: а здесь делитесь самым актуальным и интересным со своей аудиторией.
Важно: для возможности закрепления видео уже должны быть загружены на канал.

Настройте автоматическую подпись для своих видео.

Также в настройках канала можно создать постоянную подпись к видео – она будет автоматически отображаться в описании под всеми загружаемыми в дальнейшем роликами.
Регулярность публикаций

Составьте график публикаций, чтобы стабильно загружать контент и радовать своих зрителей новыми видео.

Важно! Элементы оформления вашего канала не должны подпадать под категорию «18+» и нарушать законодательство Российской Федерации. На это могут пожаловаться другие пользователи, и, в случае, если жалоба окажется обоснованной, наши модераторы удалят некорректные материалы.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Оформление канала","Какие рекомендации следует учитывать при создании обложки и заголовка для видео, чтобы повысить его привлекательность и видимость? ","Используйте минимум текста и яркий объект или объекты по теме видео. Яркие и привлекательные обложки помогут попасть в рекомендации и баннеры в разделах                     

Хорошая обложка:

Отражает тему вашего видео — её задача привлечь зрителей к контенту, который им будет интересен 
В хорошем разрешении — используйте изображения в высоком разрешении без смазанностей и некачественных картинок 
Яркая и контрастная — так она будет заметной в общей ленте. Коллаж может быть отличной идеей для обложки, потому что он позволяет показать интересные моменты из видео и использовать другие тематические объекты одновременно
Подходит по размеру — не обрезается и не сжимается в окне предпросмотра при загрузке видео
В вашем стиле — если у вашего контента уже есть фирменный стиль, используйте его и на обложке. Это поможет создать узнаваемый образ канала
Разная для каждого видео — используйте уникальные обложки, которые будут отражать содержание каждого видео
С цепляющим заголовком — он должен привлекать внимание и передавать основную идею видео. Экспериментируйте с форматом и стилем текста и наблюдайте за статистикой
Название и описание видео:

Придумывайте название, опираясь на основную тему видео
Используйте привлекательные фразы и ключевые слова, чтобы улучшить видимость видео в результатах поиска
Выбирайте лаконичное и информативное название 
Хештеги. Ставьте свои и тематические хештеги в конце описания к видео — по ним другие пользователи смогут найти ваш контент
Тайм-коды. Добавляйте к видео тайм-коды с описанием, чтобы зрители могли быстро ориентироваться в содержании ролика. Каждая минута — возможность заинтересовать всех, кто смотрит ваш контент 
Категория видео. При загрузке видео выбирайте ту категорию, которая максимально близко подходит к содержанию вашего видео — так ваш контент автоматически может попасть в ленту «Новинки» этого раздела","ВИДЕО","Загрузка видео"
"Верификация","Для чего нужна верификация и что она дает пользователю?","Верификация открывает возможность быстрой публикации контента сразу после загрузки, минуя штатную модерацию (кроме видео категории ""Детям""), а также возможность постмодерации контента после его фактической публикации. Ваша страница на платформе RUTUBE приобретает уникальный знак подлинности, который подтверждает, что вы являетесь правообладателем или оригинальным создателем контента. Это помогает избежать махинаций с вашим именем и брендом, пресекать мошенничество и неправомерное распространение материалов. Также верифицированные пользователи могут создать короткий URL адрес для своего канала. Служба модерации RUTUBE оказывает полное содействие в удалении материалов, которые распространяются не от имени оригинального представителя.","УПРАВЛЕНИЕ АККАУНТОМ","Верификация"
"Верификация","Какие пользователи могут подать на верификацию канала?","Верификацию может получить любой пользователь RUTUBE, находящийся в любой стране мира, при выполнении всех необходимых условий и правильном заполнении документов.","УПРАВЛЕНИЕ АККАУНТОМ","Верификация"
"Верификация","Как подать заявку на верификацию канала?","Для получения статуса официального канала необходимо подать заявку через Студию RUTUBE. Для этого перейдите в раздел “Настройки канала” по ссылке https://studio.rutube.ru/channel-settings и нажмите “Подать заявку” в пункте “Статус официального канала”, затем следуйте инструкции. Если возможность подать заявку через Студию RUTUBE отсутствует, напишите нам на partners@rutube.ru с указанием ссылки на свой канал и прикрепите гарантию правообладателя. Заявка для Госучреждений и правообладателей: https://static.rutube.ru/static/studio/docs/entity.docx. Заявка для публичной личности: https://static.rutube.ru/static/studio/docs/individual.docx. Если пользователь выдает себя за другое лицо или представителя чужого бренда, его заявка будет отклонена.","УПРАВЛЕНИЕ АККАУНТОМ","Верификация"
"Верификация","Кто может получить верификацию?","Пользователь RUTUBE, подтвердивший, что является правообладателем или оригинальным создателем контента.","УПРАВЛЕНИЕ АККАУНТОМ","Верификация"
"Верификация","Может ли физическое лицо получить статус?","Физическое лицо может получить данный статус при выполнении следующих условий: установлены аватар и обложка канала; заполнены описание и название канала; опубликованы не менее 2 видео, последнее из которых не старше 3-х месяцев; наличие ссылок на канал на других платформах.","УПРАВЛЕНИЕ АККАУНТОМ","Верификация"
"Верификация","Как поменять URL своего RUTUBE канала?","Поменять URL канала можно в настройках профиля Студии RUTUBE, прокрутив страницу вниз до пункта «URL Канала». URL можно менять до 3 раз в год. Если нужно больше изменений, напишите на partners@rutube.ru для получения помощи.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Верификация","Сколько времени занимает рассмотрение заявки на верификацию канала?","Рассмотрение заявки занимает до 10 рабочих дней.","УПРАВЛЕНИЕ АККАУНТОМ","Верификация"
"Верификация","Кто рассматривает заявку на получение статуса?","Заявку рассматривает отдел поддержки блогеров.","УПРАВЛЕНИЕ АККАУНТОМ","Верификация"
"Верификация","Обязательна ли верификация канала для подключения к монетизации?","Для подключения канала к монетизации верификация канала не требуется. Подробнее о монетизации на RUTUBE: https://rutube.ru/info/monetization.","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Верификация","Что делать, если заявку не одобрили?","Если вы не согласны с решением, направьте запрос на partners@rutube.ru, предоставив убедительные факты, что ваш канал может претендовать на статус официального.","УПРАВЛЕНИЕ АККАУНТОМ","Верификация"
"Верификация","Моя заявка находится длительное время без ответа. Что делать?","Если вы не получили ответ после указанного времени, напишите на partners@rutube.ru, чтобы уточнить статус заявки.","УПРАВЛЕНИЕ АККАУНТОМ","Верификация"
"Монетизация","Что такое Монетизация на RUTUBE?","Монетизацию можно подключить после того, как вы загрузите в публичный доступ на свой канал минимум 2 ролика и наберёте 5000 просмотров. Мы считаем совокупное количество просмотров, начиная с 1 января 2021 года.

По порядку о том, как это работает: 

В разделе «Монетизация» в Студии RUTUBE у вас появится анкета партнёра:https://studio.rutube.ru/monetization. Заполните её и подайте заявку на монетизацию. 
Мы убедимся, что ваш канал не нарушает правил RUTUBE, и пришлём подтверждение вам на почту. 
RUTUBE начнёт начислять вам вознаграждение в порядке, определенном Офертой (https://rutube.ru/info/adv_oferta/). Всю аналитику и размер дохода по месяцам вы сможете смотреть в личном кабинете Студии RUTUBE. 
Творите, загружайте и выводите свой канал в топ!","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","С какого возраста доступна монетизация?","Монетизация доступна с 18 лет. Канал обязательно должен быть оформлен на лицо, достигшее совершеннолетия, для возможности монетизировать контент.","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Могу ли я подключиться к партнёрской программе, если я не резидент РФ?","Пока такой возможности нет, но мы работаем над этим.  ","ПРЕДЛОЖЕНИЯ","Монетизация"
"Монетизация","Как подключить монетизацию, если я физлицо?","Увы, физлицам монетизация недоступна, зато доступна самозанятым. Стать самозанятым можно за пару минут через приложение «Мой налог».  ","ПРЕДЛОЖЕНИЯ","Монетизация"
"Монетизация","Какие документы нужны для заявки на монетизацию?","Сканы паспорта, ИНН, СНИЛС и справка о постановке на учёт в налоговой или справка из приложения «Мой налог», если вы самозанятый/ая. Для ИП и юрлица нужно будет добавить документы о регистрации и выписку из ЕГРИП/ЕГРЮЛ.","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Обязательна ли верификация канала для подключения к монетизации?","Для подключения канала к монетизации верификация канала не требуется.","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Верификация","Что делать, если заявку не одобрили?","Если вы не согласны с решением, направьте запрос на partners@rutube.ru, предоставив убедительные факты, что ваш канал может претендовать на статус официального.","УПРАВЛЕНИЕ АККАУНТОМ","Верификация"
"Верификация","Моя заявка находится длительное время без ответа. Что делать?","Если вы не получили ответ после указанного времени, напишите на partners@rutube.ru, чтобы уточнить статус заявки.","УПРАВЛЕНИЕ АККАУНТОМ","Верификация"
"Монетизация","Что такое Монетизация на RUTUBE?","Монетизацию можно подключить после того, как вы загрузите в публичный доступ на свой канал минимум 2 ролика и наберёте 5000 просмотров. Мы считаем совокупное количество просмотров, начиная с 1 января 2021 года.

По порядку о том, как это работает: 

В разделе «Монетизация» в Студии RUTUBE у вас появится анкета партнёра:https://studio.rutube.ru/monetization. Заполните её и подайте заявку на монетизацию. 
Мы убедимся, что ваш канал не нарушает правил RUTUBE, и пришлём подтверждение вам на почту. 
RUTUBE начнёт начислять вам вознаграждение в порядке, определенном Офертой (https://rutube.ru/info/adv_oferta/). Всю аналитику и размер дохода по месяцам вы сможете смотреть в личном кабинете Студии RUTUBE. 
Творите, загружайте и выводите свой канал в топ!","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","С какого возраста доступна монетизация?","Монетизация доступна с 18 лет. Канал обязательно должен быть оформлен на лицо, достигшее совершеннолетия, для возможности монетизировать контент.","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Могу ли я подключиться к партнёрской программе, если я не резидент РФ?","Пока такой возможности нет, но мы работаем над этим.  ","ПРЕДЛОЖЕНИЯ","Монетизация"
"Монетизация","Как подключить монетизацию, если я физлицо?","Увы, физлицам монетизация недоступна, зато доступна самозанятым. Стать самозанятым можно за пару минут через приложение «Мой налог».  ","ПРЕДЛОЖЕНИЯ","Монетизация"
"Монетизация","Какие документы нужны для заявки на монетизацию?","Сканы паспорта, ИНН, СНИЛС и справка о постановке на учёт в налоговой или справка из приложения «Мой налог», если вы самозанятый/ая. Для ИП и юрлица нужно будет добавить документы о регистрации и выписку из ЕГРИП/ЕГРЮЛ.","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Обязательна ли верификация канала для подключения к монетизации?","Для подключения канала к монетизации верификация канала не требуется.","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Как долго рассматривается заявка на монетизацию? ","Срок рассмотрения заявки до 30 дней. По результатам проверки всех необходимых документов ответ поступит на почту, указанную при подаче заявки, а также обновится информация в разделе «Монетизация» Студии RUTUBE: https://studio.rutube.ru/monetization
Расчет Вознаграждения начнётся с 1го числа месяца, в котором вы стали участником партнёрской программы.","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Можно ли создать несколько каналов и монетизировать их?","Да. Каждый канал должен быть зарегистрирован на отдельную почту. 1 почта = 1 канал. Создать 2 канала на одну почту пока не получится. Для подключения монетизации 5000 просмотров должно быть набрано на каждом канале. ","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Можно ли подключить монетизацию нескольких каналов на одного человека или организацию?","Да, нужно подать заявку на монетизацию с каждого канала, а в анкету вписать данные одного и того же человека или организации. ","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Могу ли я оформить монетизацию моего канала на доверенное лицо?","Каналом управляет именно тот, на кого зарегистрирован этот канал.

Доверенное лицо может вести канал, если вы сделаете на него нотариальную доверенность или доверенность, заверенную компанией — владельцем канала. Но все расчёты и отчётность мы ведём именно с реальным партнёром RUTUBE, чьи данные указаны в профиле и заявке на монетизацию. ","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Я хочу оформить монетизацию на другого человека. Нужно ли переоформлять канал на него?","Сейчас монетизацию можно оформить только на того, кто ведёт канал.","ПРЕДЛОЖЕНИЯ","Монетизация"
"Монетизация","Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?","Если вы выкладываете UGC-контент на RUTUBE и не включаете в него чужую интеллектуальную собственность, то такой контент будет считаться авторским. Если же вы планируете включать в свои видео чужие объекты интеллектуальной собственности — кадры из фильма, клипа, чужого блога, вам нужно подтвердить, что у вас есть разрешение на использование от первоначального правообладателя.","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Монетизируется ли контент с отметкой 18+?","Да, конечно. Мы монетизируем любой контент, если он проходит модерацию и не нарушает правил платформы. Также будем признательны, если вы самостоятельно будете выставлять на своих роликах метку 18+.","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?","Если видео с вашего канала ранее были загружены на другие каналы, подключенные к партнерской программе, вы не сможете монетизировать подобный контент. Для участия в монетизации видеоряд ролика должен быть уникальным.

При выявлении такой ситуации администрация RUTUBE уведомит вас о необходимости самостоятельно удалить дублирующее видео, и до его удаления монетизация канала/конкретного видео приостанавливается. Если нарушение не устраняется, Компания вправе расторгнуть Договор в одностороннем порядке согласно п. 9.3.2 Оферты/Договора (https://rutube.ru/info/adv_oferta)","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Монетизация подключена. С какого момента будет рассчитываться вознаграждение? ","Начисление вознаграждения и фиксация данных для его расчета начнётся с 1го числа месяца, в котором вы стали участником партнёрской программы.","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Отправил заявку на монетизацию, но в личном кабинете висит надпись: «Требуется дополнительная информация». Что делать?","Удостоверьтесь, что вы приложили к заявке все необходимые документы – это паспорт, ИНН, СНИЛС, справка о постановке на учёт в налоговой или справка из приложения «Мой налог», а также дополнительно для ИП и юрлица документы о регистрации и выписка из ЕГРИП/ЕГРЮЛ.

Если каких-либо документов не хватает, вы можете направить их на partners@rutube.ru.","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Почему заявка может быть отклонена?","Для подключения монетизации размещенный на канале контент должен соответствовать правилам платформы в части п.4.6, 4.7 и 4.8: https://rutube.ru/info/agreement ","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Сколько времени дается на исправление нарушений на канале?","При наличии нарушений на канале действие партнерского договора приостанавливается. Если нарушения не будут устранены в течение 3-х месяцев, компания вправе расторгнуть договор (п.9.4 Оферты https://rutube.ru/info/adv_oferta/).","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Как долго рассматривается повторная заявка на монетизацию?","Срок рассмотрения повторной заявки также составляет 30 календарных дней.","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Монетизация","Где посмотреть подробную аналитику по монетизации моего канала и информацию о начислениях?","Вся доступная информация и статистика отображается в вашем личном кабинете Студии RUTUBE в разделе «Монетизация»: https://studio.rutube.ru/monetization","МОНЕТИЗАЦИЯ","Статистика по монетизации"
"Монетизация","Как формируется вознаграждение за монетизацию?","Для расчета вознаграждения партнера используется специальная формула, указанная в п.3.1. Оферты. Актуальные показатели формирующие общее итоговое вознаграждение партнера также отображается в Студии RUTUBE в разделе «Монетизация»: https://studio.rutube.ru/monetization","МОНЕТИЗАЦИЯ","Статистика по монетизации"
"Монетизация","Как мне вывести средства с баланса в личном кабинете?","Баланс за месяц показов отображается в Студии RUTUBE в следующем месяце. Деньги придут на ваш банковский счёт через месяц после отображения баланса.
Минимальная сумма выплаты — 3000 ₽.

Например, за услуги оказанные в октябре, в ноябре в личном кабинете отобразился баланс заработанного за октябрь. До конца декабря заработанные деньги придут вам на счёт. ","МОНЕТИЗАЦИЯ","Статистика по монетизации"
"Монетизация ","Как часто обновляются данные по монетизации?","Данные в разделе ""Монетизация"" RUTUBE Studio обновляются в личном кабинете ежедневно и отображают данные за предыдущий день.","МОНЕТИЗАЦИЯ","Статистика по монетизации"
"Монетизация","Можно ли отключить рекламу в видео?","Рекламу можно отключить на всём канале через раздел ""Настройка канала"" в Студии RUTUBE в блоке «Управление рекламой»: https://studio.rutube.ru/channel-settings. Чтобы снова включить рекламу, напишите на help@rutube.ru. ","МОНЕТИЗАЦИЯ","Подключение/отключение рекламы"
